indice_tiempo,total,colectivo,lancha,subte,tren
2022-11-18,5303745,5017046,37,520649,749265
2022-11-19,3271303,3107449,36,261098,452334
2022-11-20,1710282,1633292,17,129969,143036
2022-11-21,1803404,1721167,16,133992,175990
2022-11-22,4798843,4507774,28,490467,696286
2022-11-23,5303100,5002240,39,500488,755076
2022-11-24,5214545,4906074,29,524654,744368
2022-11-25,5211183,4912277,43,516363,779010
2022-11-26,2943662,2793325,42,233323,373969
2022-11-27,1820849,1733572,23,136171,168914
2022-11-28,4977830,4688398,37,477326,717846
2022-11-29,5033498,4759016,30,465790,726151
2022-11-30,4501930,4235486,24,437479,639516
2022-12-01,4902412,4611886,30,495877,705632
2022-12-02,5179403,4878098,41,535802,789544
2022-12-03,3055598,2887477,21,258676,406752
2022-12-04,1883433,1796332,52,141325,169983
2022-12-05,4857347,4589247,32,448227,693945
2022-12-06,4867032,4572699,33,515610,728167
2022-12-07,5027178,4733128,41,527296,750562
2022-12-08,2435632,2327658,40,187269,227032
2022-12-09,2051200,1956190,17,157127,185378
2022-12-10,2929789,2788419,39,226351,366475
2022-12-11,1733086,1659758,20,125298,140717
2022-12-12,4860493,4585703,29,481440,685933
2022-12-13,4339955,4074822,27,446265,595339
2022-12-14,4854983,4566953,41,490780,714255
2022-12-15,4891436,4599932,30,505864,722516
2022-12-16,5066855,4759985,38,542115,771967
2022-12-17,3444134,3265668,28,284984,462364
2022-12-18,895551,796670,12,88677,92203
2022-12-19,4323598,4064865,33,427553,629972
2022-12-20,2616388,2479318,30,145911,270149
2022-12-21,4911533,4610475,41,521584,749419
2022-12-22,4881939,4575854,40,544542,769898
2022-12-23,4301850,4061482,35,400712,677339
2022-12-24,2348265,2235811,14,151850,268232
2022-12-25,946289,895768,18,67342,83746
2022-12-26,3845581,3603952,42,381116,634407
2022-12-27,4096768,3840672,30,415875,663815
2022-12-28,4145003,3888922,33,418568,670516
2022-12-29,4113155,3867860,33,407751,653100
2022-12-30,3701365,3504916,27,318846,581161
2022-12-31,2075519,1975332,19,132941,242554
2023-01-01,781040,739766,18,56250,66891
2023-01-02,3319578,3109335,28,323851,546840
2023-01-03,3686641,3454263,36,364805,595350
2023-01-04,3778319,3539821,27,378812,606177
2023-01-05,3904623,3666023,32,380715,621519
2023-01-06,3883463,3657885,31,365461,620497
2023-01-07,2757070,2619867,37,197293,371553
2023-01-08,1678442,1607258,20,106474,150349
2023-01-09,3693043,3466548,21,359221,603046
2023-01-10,3755020,3518468,23,374551,607406
2023-01-11,3789713,3551563,33,377175,615546
2023-01-12,3831572,3592659,32,382213,612644
2023-01-13,3926417,3700949,45,370960,620037
2023-01-14,2784416,2646082,31,201601,368413
2023-01-15,1666211,1599156,23,104989,133827
2023-01-16,3616320,3405308,22,349095,555039
2023-01-17,3678694,3462819,26,364048,545811
2023-01-18,3804923,3578389,36,374819,577927
2023-01-19,3752853,3529859,34,374779,572962
2023-01-20,3678295,3471867,40,351954,558861
2023-01-21,2726093,2600069,19,197777,327660
2023-01-22,1698773,1630694,10,118438,129421
2023-01-23,3686676,3469200,21,359053,567061
2023-01-24,3730675,3504807,18,380046,570393
2023-01-25,3804847,3574675,28,396402,597949
2023-01-26,3722137,3497964,31,377151,579176
2023-01-27,3507082,3316891,38,335641,518683
2023-01-28,2745470,2613327,26,198583,349824
2023-01-29,1700083,1628142,17,113132,141325
2023-01-30,3785643,3556110,23,371639,599501
2023-01-31,3821831,3587213,29,385875,605200
2023-02-01,3973910,3721075,28,416833,635042
2023-02-02,3799206,3560493,28,402050,591851
2023-02-03,4019873,3784432,28,403431,625203
2023-02-04,2970835,2823682,33,221321,385841
2023-02-05,1782693,1707563,17,120756,144351
2023-02-06,3969889,3726335,26,402001,618551
2023-02-07,3997633,3746908,39,422363,627269
2023-02-08,4067517,3814739,20,424829,628860
2023-02-09,4073628,3822357,29,432884,622014
2023-02-10,4100962,3867015,29,406660,622816
2023-02-11,2753979,2628706,24,200479,332173
2023-02-12,1606696,1539648,18,110226,121387
2023-02-13,3995529,3758711,24,397458,587361
2023-02-14,4332505,4147529,28,342268,637842
2023-02-15,4370546,4111596,18,441763,652727
2023-02-16,4177218,3922862,28,443128,620154
2023-02-17,4225818,3988461,28,411832,617632
2023-02-18,2936091,2802098,38,212454,336100
2023-02-19,1840497,1760176,26,126558,151993
2023-02-20,1966690,1876535,35,137442,195683
2023-02-21,1989970,1896641,16,140818,193064
2023-02-22,4401428,4141160,29,433087,659554
2023-02-23,4315890,4055614,27,436033,645619
2023-02-24,4457681,4203410,28,434050,666619
2023-02-25,2955080,2809757,26,220022,377499
2023-02-26,1795542,1714228,19,124301,148887
2023-02-27,4292241,3997102,22,456666,675605
2023-02-28,4583677,4312012,21,452475,669639
2023-03-01,4677861,4446816,22,419876,582824
2023-03-02,4724418,4467079,27,443774,603463
2023-03-03,4816789,4562761,34,438944,644580
2023-03-04,3062897,2918356,29,225774,371446
2023-03-05,1825845,1747076,27,126951,139602
2023-03-06,4969583,4702459,28,446140,639525
2023-03-07,5044669,4768240,28,469805,669011
2023-03-08,4715272,4439531,21,499845,631516
2023-03-09,5086740,4808066,25,477097,669848
2023-03-10,5060574,4801722,33,456418,668718
2023-03-11,2980628,2842613,27,218452,353524
2023-03-12,1734187,1661506,19,118648,130720
2023-03-13,4910121,4632460,30,482538,658312
2023-03-14,4870248,4592336,31,490880,648869
2023-03-15,5054754,4773308,31,499907,653560
2023-03-16,5228773,4936719,29,511451,680891
2023-03-17,4998605,4703456,48,505640,709461
2023-03-18,3239565,3082307,43,243707,402014
2023-03-19,1814977,1731831,23,125401,158121
2023-03-20,5226585,4935991,30,494468,682635
2023-03-21,5419525,5115608,29,534042,714711
2023-03-22,5453337,5155495,37,525235,708454
2023-03-23,5418953,5115840,39,530121,725378
2023-03-24,2576466,2417481,28,265424,286711
2023-03-25,2948194,2827983,34,178298,329424
2023-03-26,1906765,1830244,31,110853,160853
2023-03-27,5435846,5144253,25,503384,706246
2023-03-28,5481336,5180116,34,518770,704710
2023-03-29,5374608,5084335,40,504276,685823
2023-03-30,5417001,5114564,21,532136,706803
2023-03-31,5486121,5205583,41,505977,714531
2023-04-01,3325173,3164522,22,251577,389285
2023-04-02,1772437,1693304,32,121673,139138
2023-04-03,4656425,4309954,21,536446,692514
2023-04-04,5446944,5134356,27,535330,701807
2023-04-05,5723314,5415482,39,544178,757777
2023-04-06,3390403,3236455,62,213883,480786
2023-04-07,2086765,1992484,30,133605,209194
2023-04-08,3036466,2913231,30,174489,346025
2023-04-09,1883749,1810664,26,105167,152506
2023-04-10,5557417,5281421,40,475885,712095
2023-04-11,5597205,5295395,36,529093,716162
2023-04-12,5227324,4931406,35,505463,690411
2023-04-13,5482233,5163158,42,557011,732908
2023-04-14,5620887,5347180,38,496903,705383
2023-04-15,3390239,3229583,35,251560,410928
2023-04-16,1802448,1724216,15,122465,139894
2023-04-17,5500213,5206672,37,508741,697153
2023-04-18,5400316,5100314,28,517545,663223
2023-04-19,5242336,4945504,38,508861,651806
2023-04-20,5670823,5368890,49,543016,709857
2023-04-21,5636552,5352082,44,510013,713795
2023-04-22,3432340,3271955,32,248086,410890
2023-04-23,1943265,1859375,30,132200,150705
2023-04-24,5512302,5221927,30,503099,697930
2023-04-25,5246892,4953560,21,517411,665628
2023-04-26,5471042,5177619,24,524778,694007
2023-04-27,5661059,5357489,46,535503,714892
2023-04-28,5617377,5333796,37,519070,701609
2023-04-29,3459314,3288623,34,266301,421421
2023-04-30,1732942,1658455,29,123105,123971
2023-05-01,1487365,1400739,23,128099,148940
2023-05-02,5565148,5263390,27,525376,714224
2023-05-03,5578703,5285270,36,518225,706826
2023-05-04,5639949,5349829,28,508450,720482
2023-05-05,5587766,5300473,48,515533,721612
2023-05-06,3136440,2985718,31,241610,357813
2023-05-07,1897762,1809367,26,140081,141387
2023-05-08,5543414,5267563,40,478158,721053
2023-05-09,5662159,5351056,34,540880,749315
2023-05-10,5730693,5444557,28,506253,749876
2023-05-11,5677581,5369823,40,534339,751558
2023-05-12,5688700,5395354,41,516755,764124
2023-05-13,3533820,3360168,25,266440,448484
2023-05-14,2067248,1972674,17,146643,171395
2023-05-15,5525007,5283426,32,415272,726994
2023-05-16,5679389,5379727,26,512406,740751
2023-05-17,5478045,5174215,32,528407,750444
2023-05-18,5518089,5207037,39,565994,774976
2023-05-19,5105840,4837944,53,480118,662892
2023-05-20,3342330,3193109,30,217628,409381
2023-05-21,1713235,1645107,18,102217,129031
2023-05-22,5512440,5223907,44,498929,733383
2023-05-23,5656122,5399380,40,457687,739934
2023-05-24,4904939,4644007,31,476834,625228
2023-05-25,1948837,1835588,36,179760,207947
2023-05-26,2191079,2088968,24,162177,183978
2023-05-27,2978550,2837972,50,222265,339544
2023-05-28,1836304,1754395,28,125015,146693
2023-05-29,5478221,5201386,39,481739,720068
2023-05-30,5491659,5197651,25,504333,710900
2023-05-31,5547858,5251895,27,513767,723119
2023-06-01,5624800,5325336,30,523805,718544
2023-06-02,5638067,5352485,49,510935,742044
2023-06-03,3497880,3333988,38,276604,369163
2023-06-04,1960309,1878598,29,130389,122120
2023-06-05,5560698,5270370,28,494213,721836
2023-06-06,5608040,5315042,28,509839,728714
2023-06-07,5656329,5355363,23,520690,743815
2023-06-08,5606059,5384366,43,408899,743144
2023-06-09,5470075,5188897,29,499731,742233
2023-06-10,3354095,3191789,20,248809,419213
2023-06-11,1844532,1767672,19,125195,110556
2023-06-12,5413413,5126812,30,488399,717300
2023-06-13,4478399,4193770,19,475664,669749
2023-06-14,5608759,5309752,30,524694,723894
2023-06-15,5404531,5104698,31,521110,724112
2023-06-16,5415411,5128764,39,514551,748670
2023-06-17,3167158,2997646,50,246081,383897
2023-06-18,1822273,1741394,23,129918,135998
2023-06-19,2008646,1906411,27,162093,194524
2023-06-20,1920403,1822405,25,147534,201684
2023-06-21,5327660,5027250,27,527454,730761
2023-06-22,4624322,4332795,31,506617,696170
2023-06-23,5471951,5201133,37,497060,669113
2023-06-24,3278663,3120773,35,244943,398108
2023-06-25,1911816,1828842,17,131567,136745
2023-06-26,5457477,5164343,29,492237,740503
2023-06-27,5280933,4988917,28,485929,720293
2023-06-28,5575950,5270882,37,514399,738509
2023-06-29,5546022,5252830,30,516531,693415
2023-06-30,5627172,5331758,43,507743,754637
2023-07-01,3478979,3305217,31,264097,429380
2023-07-02,1978627,1888852,25,136882,154194
2023-07-03,5479781,5183771,35,482787,731903
2023-07-04,5437122,5129280,48,530543,735615
2023-07-05,5584959,5355760,40,404171,731709
2023-07-06,5359758,5038960,46,533946,736605
2023-07-07,2375984,1730690,55,476974,485194
2023-07-08,3458557,3281829,62,284490,437592
2023-07-09,1852587,1762143,33,142283,141266
2023-07-10,5250363,4953406,62,498713,731440
2023-07-11,5057917,4760539,60,510297,697270
2023-07-12,4304272,4039443,40,469944,587759
2023-07-13,5097183,4801273,47,528987,683601
2023-07-14,5338404,5042448,69,518440,743699
2023-07-15,3391313,3209969,55,280047,429455
2023-07-16,1950144,1848205,28,161476,154761
2023-07-17,4365743,4089956,50,454098,675607
2023-07-18,4450589,4165985,65,473153,684071
2023-07-19,4493664,4253475,53,399625,692609
2023-07-20,4742030,4453262,60,501124,714767
2023-07-21,4609381,4343068,65,467822,697271
2023-07-22,3364157,3188692,14,274229,435237
2023-07-23,2089374,1983492,33,168782,174966
2023-07-24,4374468,4118608,61,425687,644590
2023-07-25,4419034,4143804,53,456088,676337
2023-07-26,4560305,4341640,46,367897,652760
2023-07-27,4676550,4400351,52,464539,692448
2023-07-28,4794256,4524120,73,460000,712511
2023-07-29,3355730,3183129,48,266438,428646
2023-07-30,2083799,1980553,34,159480,180947
2023-07-31,5289401,5007119,45,455230,701464
2023-08-01,5431872,5162742,67,460926,717407
2023-08-02,5555299,5261704,77,488242,718812
2023-08-03,5485415,5240581,41,424530,704547
2023-08-04,5641332,5350627,70,495410,746828
2023-08-05,3640684,3459092,59,276900,456509
2023-08-06,2050980,1960192,46,140648,165879
2023-08-07,5613686,5310753,60,501278,741275
2023-08-08,5719766,5406798,51,524451,753934
2023-08-09,5774116,5463175,65,527449,763507
2023-08-10,5719901,5422113,61,526433,713131
2023-08-11,5699011,5401888,71,529417,763546
2023-08-12,3382279,3212791,50,253353,424530
2023-08-13,566522,551182,15,2427,17153
2023-08-14,5475183,5178274,56,489383,742783
2023-08-15,5797387,5484366,65,522611,768515
2023-08-16,5696029,5396565,60,525568,712649
2023-08-17,4517909,4266272,45,454645,576773
2023-08-18,5491199,5205081,67,520721,731394
2023-08-19,3510953,3336922,55,264837,451096
2023-08-20,2078192,1987309,43,148461,139072
2023-08-21,2030762,1937232,51,141745,153125
2023-08-22,5564343,5253312,88,525190,757359
2023-08-23,5628671,5314292,75,538735,764437
2023-08-24,5775617,5454518,73,557363,779293
2023-08-25,5761678,5455352,93,530937,795297
2023-08-26,3474833,3301966,66,265201,425928
2023-08-27,2068243,1968724,46,152343,170969
2023-08-28,5651867,5345565,88,513988,763247
2023-08-29,5775021,5459300,92,535322,769223
2023-08-30,5780630,5465497,117,531352,773271
2023-08-31,5760062,5448578,132,537085,771736
2023-09-01,5614454,5294490,781,515979,782214
2023-09-02,3037043,2870836,709,246719,333077
2023-09-03,1412105,1339604,288,109262,113054
2023-09-04,5361001,5040548,826,505779,742288
2023-09-05,5644279,5315032,832,530663,763561
2023-09-06,5436150,5116695,858,527133,753256
2023-09-07,4954338,4642852,760,518169,698125
2023-09-08,5682770,5363646,1066,529107,774690
2023-09-09,3460577,3279295,962,271435,382708
2023-09-10,2039820,1933005,661,152746,175501
2023-09-11,4480046,4189161,950,476901,692724
2023-09-13,5822598,5489665,1051,545297,778939
2023-09-14,5808285,5469079,1054,578589,788770
